p cnf 50 40
39 -37 15 0
-43 27 -39 0
-41 -14 50 0
2 39 32 0
19 7 -9 0
-39 42 -37 0
12 27 -1 0
19 -11 -21 0
-49 37 9 0
45 -11 48 0
-35 -26 8 0
-37 -44 46 0
40 -29 -28 0
-29 -11 3 0
-29 -20 -47 0
29 9 45 0
-14 -35 -48 0
43 39 48 0
-16 20 29 0
-25 -44 -42 0
40 50 31 0
-23 27 -8 0
20 -15 32 0
42 5 10 0
46 -5 -42 0
-33 -35 -50 0
-22 32 17 0
-47 7 -19 0
19 -44 -30 0
-49 18 19 0
7 -11 4 0
2 13 14 0
15 1 -4 0
5 13 40 0
-20 10 26 0
-14 37 -21 0
-35 34 22 0
38 22 2 0
41 -37 16 0
-17 21 24 0
