p cnf 100 60
-99 -62 -63 0
24 51 41 0
5 -16 -66 0
29 -9 -79 0
26 30 75 0
38 95 51 0
-89 68 -2 0
96 -71 -99 0
-16 -85 -47 0
56 -80 -8 0
55 -56 -75 0
-94 -71 -20 0
-18 6 -26 0
-7 -1 87 0
19 -47 46 0
33 -32 49 0
27 -79 -56 0
-11 98 -46 0
-50 11 72 0
89 58 9 0
-23 29 -98 0
-96 -74 -20 0
-81 56 -21 0
-11 -34 -52 0
-76 27 45 0
-53 -89 -32 0
100 -68 -98 0
35 13 -1 0
47 -13 90 0
-7 -76 55 0
-88 -77 -65 0
-83 77 -11 0
-43 -57 -14 0
38 -51 8 0
36 -39 89 0
-98 29 -12 0
100 -17 34 0
-73 -48 -87 0
-61 45 -97 0
-23 -13 -98 0
52 18 -2 0
63 -90 94 0
-73 -22 94 0
44 -27 -1 0
36 50 -48 0
-51 -46 -8 0
-95 -3 14 0
9 92 53 0
-50 71 -22 0
57 -62 -11 0
42 12 -53 0
69 68 6 0
-96 21 -1 0
-20 79 -78 0
-4 -75 37 0
27 51 -25 0
-60 16 31 0
73 -2 64 0
47 -91 -71 0
-28 -62 92 0
