p cnf 100 60
-21 -47 -32 0
79 -93 46 0
-67 -94 -84 0
-34 -38 -37 0
-86 -54 -98 0
16 -52 -98 0
-56 22 32 0
90 75 13 0
87 95 91 0
-80 5 -35 0
-91 6 56 0
66 -84 43 0
-45 -25 95 0
-39 81 -3 0
12 -91 -85 0
2 -23 -95 0
-61 21 27 0
-60 39 1 0
10 21 -8 0
-55 65 -12 0
-37 -41 33 0
-77 15 63 0
80 97 90 0
-26 71 -46 0
-59 -36 -91 0
52 -87 -8 0
-89 -76 -53 0
14 6 85 0
81 -83 -52 0
-98 -17 26 0
-54 39 90 0
-31 -96 -71 0
-71 13 4 0
98 9 -36 0
57 -51 52 0
72 47 85 0
66 -91 -69 0
30 -46 -74 0
-97 22 33 0
100 65 -72 0
38 94 -47 0
72 77 -50 0
67 33 -49 0
-15 29 -92 0
4 -51 -78 0
-31 37 -53 0
79 46 -99 0
47 25 55 0
-32 70 43 0
-89 -75 -57 0
64 -88 10 0
-17 93 -60 0
58 -34 92 0
-1 28 -12 0
77 65 -22 0
-67 33 23 0
82 -43 -8 0
-48 71 29 0
85 76 -42 0
48 15 -94 0
