p cnf 100 65
55 -75 -95 0
-2 -70 -62 0
-71 76 -99 0
38 -70 -41 0
-89 15 36 0
-45 19 97 0
-61 59 -92 0
-99 -43 -68 0
21 85 -24 0
-88 -65 -15 0
-6 25 3 0
-36 -41 -19 0
73 -72 -9 0
48 -96 -54 0
62 -10 44 0
-10 -37 -73 0
50 66 83 0
25 -14 -78 0
-1 4 -5 0
-16 28 54 0
54 -72 50 0
-20 -81 26 0
57 12 97 0
-39 42 57 0
19 16 -24 0
96 -89 -37 0
83 53 -58 0
-92 -46 95 0
45 34 -81 0
-73 -79 53 0
16 -72 -52 0
-79 22 -85 0
98 -62 -94 0
11 7 -47 0
53 81 91 0
64 -66 44 0
-44 -8 78 0
28 -34 -24 0
14 -3 69 0
-74 -94 -31 0
28 -53 33 0
-58 -8 -33 0
-82 -68 -70 0
-89 82 33 0
38 50 -51 0
11 -47 -34 0
-2 8 94 0
100 11 53 0
-93 18 -45 0
-27 40 -13 0
62 -73 35 0
94 -77 -55 0
-48 -88 29 0
-34 -63 -80 0
-72 42 -41 0
70 -23 82 0
-13 -23 -26 0
-10 14 -59 0
57 83 25 0
-9 -30 -1 0
66 77 6 0
-64 5 -81 0
25 -58 -18 0
-13 -32 30 0
94 67 79 0
