p cnf 100 50
-52 -30 -63 0
-86 14 -61 0
63 58 -95 0
46 -57 -28 0
60 -70 71 0
12 -76 10 0
66 -69 45 0
9 -40 -33 0
-33 -27 2 0
82 -99 -11 0
-27 -54 -9 0
74 -47 96 0
-33 -89 84 0
77 -20 -69 0
-98 48 -18 0
-83 54 -41 0
-95 -88 -61 0
-55 -69 21 0
46 -80 -24 0
14 50 -18 0
-58 -20 11 0
85 62 -100 0
94 -48 -18 0
52 17 48 0
26 -57 80 0
-55 48 -41 0
84 -54 9 0
-2 -59 64 0
29 -26 -95 0
4 13 -86 0
-35 -5 -66 0
-45 -56 64 0
10 68 69 0
81 42 85 0
-80 67 59 0
-75 71 -28 0
1 -33 -56 0
-56 42 -43 0
73 -93 -26 0
68 62 91 0
74 97 -88 0
-36 -37 -64 0
50 12 -69 0
-45 -64 -76 0
-9 -95 -100 0
-99 56 -70 0
-34 -64 -65 0
8 -78 68 0
87 8 -50 0
-59 93 47 0
