p cnf 100 60
-87 5 59 0
50 -26 68 0
53 22 -89 0
98 50 39 0
-28 33 -88 0
57 90 -6 0
55 -16 -85 0
-66 -9 -43 0
-70 -84 4 0
-18 14 70 0
60 3 64 0
33 60 -91 0
42 -99 -72 0
69 -86 22 0
-24 23 -82 0
-100 -2 -62 0
-99 66 49 0
-99 30 48 0
-16 91 45 0
-30 -37 -1 0
-46 51 33 0
-29 27 -31 0
-16 7 66 0
56 -17 8 0
-24 15 58 0
-74 5 55 0
-1 -83 66 0
-46 -45 -53 0
39 -64 38 0
-4 -73 80 0
45 -70 30 0
-40 25 51 0
-19 79 -73 0
-77 90 -27 0
-23 -29 -59 0
-20 39 -63 0
-95 -11 -29 0
-71 31 55 0
-54 -7 21 0
-3 -37 97 0
-37 76 -60 0
80 -51 11 0
-6 52 -19 0
48 -72 9 0
-31 -71 2 0
-21 -28 -89 0
76 38 36 0
33 -46 -43 0
39 89 -20 0
-49 -55 -19 0
46 -56 47 0
-82 -64 -78 0
-36 -57 -37 0
62 -39 48 0
60 -44 48 0
32 -13 -99 0
90 -50 -45 0
-19 -22 81 0
-5 -21 -78 0
73 -12 -6 0
